CountryName,Month,RepressionEvents,RepressionFatalities,StringencyIndex,EconomicSupportIndex,PoliticalViolenceEvents,Year,AnnualDemonstrations
Afghanistan,2020-01-31,29,20,0.0,0.0,1027.0,2020,147.0
Afghanistan,2020-02-29,13,8,2.010689655172414,0.0,766.0,2020,147.0
Afghanistan,2020-03-31,36,1,40.831935483870964,0.0,766.0,2020,147.0
Afghanistan,2020-04-30,40,2,80.74000000000001,0.0,560.0,2020,147.0
Afghanistan,2020-05-31,28,30,84.26,25.0,575.0,2020,147.0
Afghanistan,2020-06-30,17,44,84.07466666666667,0.0,639.0,2020,147.0
Afghanistan,2020-07-31,24,17,78.7,0.0,827.0,2020,147.0
Afghanistan,2020-08-31,38,26,56.84096774193548,0.0,828.0,2020,147.0
Afghanistan,2020-09-30,42,8,28.7,0.0,853.0,2020,147.0
Afghanistan,2020-10-31,51,25,17.057096774193546,0.0,1053.0,2020,147.0
Afghanistan,2020-11-30,62,20,11.298666666666666,0.0,957.0,2020,147.0
Afghanistan,2020-12-31,32,23,12.04,0.0,907.0,2020,147.0
Afghanistan,2021-01-31,34,59,12.04,0.0,1003.0,2021,234.0
Afghanistan,2021-02-28,40,20,12.040000000000001,0.0,973.0,2021,234.0
Afghanistan,2021-03-31,44,16,24.106129032258064,0.0,986.0,2021,234.0
Afghanistan,2021-04-30,95,17,26.85,0.0,1149.0,2021,234.0
Afghanistan,2021-05-31,43,21,33.30225806451613,0.0,1341.0,2021,234.0
Afghanistan,2021-06-30,98,38,44.417,0.0,1459.0,2021,234.0
Afghanistan,2021-07-31,34,9,53.7341935483871,0.0,1001.0,2021,234.0
Afghanistan,2021-08-31,60,70,35.57032258064516,0.0,587.0,2021,234.0
Afghanistan,2021-09-30,61,64,27.348333333333333,0.0,123.0,2021,234.0
Afghanistan,2021-10-31,35,43,32.73838709677419,0.0,156.0,2021,234.0
Afghanistan,2021-11-30,38,26,25.0,0.0,165.0,2021,234.0
Afghanistan,2021-12-31,63,27,22.309677419354838,0.0,179.0,2021,234.0
Afghanistan,2022-01-31,82,49,19.44,0.0,237.0,2022,289.0
Afghanistan,2022-02-28,73,56,19.44,0.0,212.0,2022,289.0
Afghanistan,2022-03-31,92,50,17.295483870967743,0.0,224.0,2022,289.0
Afghanistan,2022-04-30,63,30,16.67,0.0,295.0,2022,289.0
Afghanistan,2022-05-31,92,80,12.724193548387097,0.0,288.0,2022,289.0
Afghanistan,2022-06-30,74,84,11.109999999999998,0.0,271.0,2022,289.0
Afghanistan,2022-07-31,59,26,11.11,0.0,200.0,2022,289.0
Afghanistan,2022-08-31,70,39,11.11,0.0,204.0,2022,289.0
Afghanistan,2022-09-30,77,68,9.26,0.0,206.0,2022,289.0
Afghanistan,2022-10-31,73,53,5.56,0.0,177.0,2022,289.0
Afghanistan,2022-11-30,60,26,3.4286666666666665,0.0,126.0,2022,289.0
Afghanistan,2022-12-31,60,23,0.4483870967741935,0.0,107.0,2022,289.0
Albania,2020-04-30,1,0,86.665,50.833333333333336,1.0,2020,216.0
Albania,2020-05-31,5,0,87.4216129032258,64.91935483870968,1.0,2020,216.0
Albania,2020-06-30,2,0,70.466,75.0,2.0,2020,216.0
Albania,2020-07-31,1,0,63.85677419354838,75.0,0.0,2020,216.0
Albania,2020-09-30,1,0,54.63,50.0,0.0,2020,216.0
Albania,2020-12-31,5,0,62.45483870967742,50.0,1.0,2020,216.0
Albania,2021-01-31,2,0,58.99322580645161,60.483870967741936,0.0,2021,149.0
Albania,2021-02-28,1,0,60.19,75.0,2.0,2021,149.0
Albania,2021-04-30,1,0,56.66866666666667,50.0,9.0,2021,149.0
Albania,2021-05-31,3,0,55.141290322580645,50.0,2.0,2021,149.0
Albania,2021-07-31,1,0,37.96,50.0,0.0,2021,149.0
Albania,2021-08-31,1,0,38.29,50.0,1.0,2021,149.0
Albania,2021-09-30,1,0,41.14466666666667,50.0,2.0,2021,149.0
Albania,2021-11-30,2,0,44.81733333333333,50.0,1.0,2021,149.0
Albania,2022-01-31,2,0,46.3,50.0,2.0,2022,148.0
Algeria,2020-01-31,5,0,0.0,0.0,1.0,2020,2113.0
Algeria,2020-02-29,7,0,0.0,0.0,1.0,2020,2113.0
Algeria,2020-03-31,10,0,37.48612903225806,0.0,4.0,2020,2113.0
Algeria,2020-05-31,3,3,77.56677419354838,37.5,8.0,2020,2113.0
Algeria,2020-06-30,13,0,70.55433333333332,52.916666666666664,7.0,2020,2113.0
Algeria,2020-07-31,3,0,72.54838709677419,50.0,5.0,2020,2113.0
Algeria,2020-08-31,41,0,81.0641935483871,50.0,0.0,2020,2113.0
Algeria,2020-09-30,14,0,75.93,50.0,1.0,2020,2113.0
Algeria,2020-10-31,17,2,75.63000000000001,50.0,1.0,2020,2113.0
Algeria,2020-11-30,8,0,71.69733333333333,50.0,3.0,2020,2113.0
Algeria,2020-12-31,2,0,72.22,50.0,2.0,2020,2113.0
Algeria,2021-01-31,5,0,72.22,50.0,6.0,2021,1793.0
Algeria,2021-02-28,19,0,75.0,28.571428571428573,0.0,2021,1793.0
Algeria,2021-03-31,26,0,78.49709677419354,25.0,1.0,2021,1793.0
Algeria,2021-04-30,19,0,79.57033333333334,25.0,0.0,2021,1793.0
Algeria,2021-05-31,29,1,66.34935483870967,37.096774193548384,3.0,2021,1793.0
Algeria,2021-06-30,5,0,53.05233333333333,50.0,2.0,2021,1793.0
Algeria,2021-07-31,1,0,50.59451612903226,50.0,0.0,2021,1793.0
Algeria,2021-08-31,1,0,49.07,50.0,2.0,2021,1793.0
Algeria,2021-11-30,2,1,40.489333333333335,50.0,3.0,2021,1793.0
Algeria,2021-12-31,2,0,45.87645161290323,50.0,1.0,2021,1793.0
Algeria,2022-02-28,12,0,34.96607142857143,8.928571428571429,4.0,2022,340.0
Algeria,2022-04-30,4,0,33.555,0.0,1.0,2022,340.0
Algeria,2022-05-31,5,0,33.44,0.0,3.0,2022,340.0
Algeria,2022-06-30,1,0,33.44,0.0,0.0,2022,340.0
Algeria,2022-10-31,2,8,2.600645161290322,0.0,3.0,2022,340.0
Algeria,2022-12-31,2,0,3.9422580645161287,0.0,2.0,2022,340.0
Andorra,2022-12-31,1,0,11.11,0.0,0.0,2022,4.0
Angola,2020-01-31,3,0,0.0,0.0,3.0,2020,66.0
Angola,2020-02-29,1,0,4.601379310344828,0.0,1.0,2020,66.0
Angola,2020-03-31,2,1,24.4,0.0,4.0,2020,66.0
Angola,2020-04-30,2,1,87.52933333333334,42.5,2.0,2020,66.0
Angola,2020-05-31,7,4,78.52483870967743,75.0,8.0,2020,66.0
Angola,2020-06-30,5,5,76.36166666666668,31.666666666666668,7.0,2020,66.0
Angola,2020-07-31,8,4,76.45064516129032,25.0,11.0,2020,66.0
Angola,2020-08-31,7,4,78.18354838709678,25.0,9.0,2020,66.0
Angola,2020-09-30,2,0,78.00999999999999,23.333333333333332,8.0,2020,66.0
Angola,2020-10-31,1,0,70.1632258064516,7.258064516129032,1.0,2020,66.0
Angola,2020-11-30,8,1,59.217,18.333333333333332,5.0,2020,66.0
Angola,2020-12-31,2,0,65.20258064516128,0.0,6.0,2020,66.0
Angola,2021-01-31,4,100,63.318709677419356,0.0,5.0,2021,103.0
Angola,2021-02-28,7,4,63.75714285714286,0.0,3.0,2021,103.0
Angola,2021-03-31,5,0,64.18677419354839,0.0,8.0,2021,103.0
Angola,2021-04-30,1,0,63.20933333333333,0.0,6.0,2021,103.0
Angola,2021-05-31,1,1,40.58806451612903,0.0,3.0,2021,103.0
Angola,2021-06-30,1,0,48.193,0.0,1.0,2021,103.0
Angola,2021-07-31,3,0,56.94,0.0,4.0,2021,103.0
Angola,2021-08-31,5,0,56.94,0.0,10.0,2021,103.0
Angola,2021-09-30,3,0,63.89,0.0,3.0,2021,103.0
Angola,2021-10-31,3,0,61.0658064516129,0.0,12.0,2021,103.0
Angola,2021-11-30,1,0,56.69533333333334,0.0,1.0,2021,103.0
Angola,2021-12-31,4,0,67.93451612903226,0.0,8.0,2021,103.0
Angola,2022-01-31,2,6,70.10677419354839,0.0,7.0,2022,112.0
Angola,2022-02-28,3,2,65.36642857142857,0.0,4.0,2022,112.0
Angola,2022-03-31,5,2,47.38903225806452,0.0,7.0,2022,112.0
Angola,2022-04-30,4,0,42.358333333333334,18.333333333333332,6.0,2022,112.0
Angola,2022-05-31,2,3,43.21322580645161,25.0,2.0,2022,112.0
Angola,2022-07-31,2,0,28.294193548387096,25.0,6.0,2022,112.0
Angola,2022-08-31,7,0,28.23741935483871,25.0,9.0,2022,112.0
Angola,2022-09-30,2,0,27.283333333333335,25.0,6.0,2022,112.0
Angola,2022-10-31,3,0,22.65,25.0,5.0,2022,112.0
Angola,2022-11-30,3,0,22.279999999999998,25.0,5.0,2022,112.0
Angola,2022-12-31,3,9,17.032258064516128,25.0,5.0,2022,112.0
Argentina,2020-01-31,3,0,3.2254838709677416,0.0,7.0,2020,2865.0
Argentina,2020-02-29,2,0,11.11,0.0,1.0,2020,2865.0
Argentina,2020-03-31,3,0,51.70258064516129,18.548387096774192,1.0,2020,2865.0
Argentina,2020-04-30,14,2,98.45700000000001,75.0,11.0,2020,2865.0
Argentina,2020-05-31,12,1,90.2625806451613,75.0,9.0,2020,2865.0
Argentina,2020-06-30,6,1,89.13666666666667,75.0,7.0,2020,2865.0
Argentina,2020-07-31,9,1,91.87387096774194,75.0,9.0,2020,2865.0
Argentina,2020-08-31,5,1,88.25935483870968,75.0,6.0,2020,2865.0
Argentina,2020-09-30,3,0,87.96,75.0,6.0,2020,2865.0
Argentina,2020-10-31,4,2,83.95870967741935,75.0,8.0,2020,2865.0
Argentina,2020-11-30,5,0,79.63166666666666,75.0,8.0,2020,2865.0
